A1BG	70 0 0 0 0 0 0 0 52 0 44 0 0 55 81 0 0 4 26 0 0 125 50 1 0 0 0 0 0 0 0 426 0 0 0 0 0 2 181 0 181 0 0 0 0 45 181 0 0 48
A1BG.AS1	60 0 0 228 0 0 0 44 89 0 20 419 0 0 190 0 0 0 0 0 447 396 27 0 120 0 89 467 289 0 0 14 4 221 587 24 0 0 190 0 228 0 6 0 2975 5 0 0 0 0
A1CF	41 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 45 0 0 0 140 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0
A2M.AS1	130 495 0 0 190 0 0 0 238 0 73 0 0 0 0 0 0 18 33 623 0 0 13 0 0 0 0 244 18 245 0 0 137 0 390 353 0 0 0 0 0 1418 248 0 394 0 0 0 0 353
A2ML1	0 0 0 0 27 0 116 0 0 0 0 0 0 0 26 0 0 3 0 0 0 0 17 89 4 0 0 18 0 0 39 0 0 0 0 0 10 0 0 0 3 0 0 0 0 0 0 0 0 0
A2MP1	0 0 0 17 0 0 0 561 0 0 0 0 1 0 9 0 0 0 0 0 74 0 0 213 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
A4GALT	0 0 0 91 401 0 2 0 0 0 0 0 0 0 0 79 97 96 0 0 40 0 0 81 162 0 0 0 0 168 0 18 0 0 0 167 127 0 172 0 122 7 0 0 20 22 57 59 0 232
A4GNT	0 0 0 0 24 0 0 0 0 0 0 0 274 0 0 0 0 15 158 0 0 13 0 145 0 0 122 0 0 0 0 0 0 0 0 191 0 0 0 0 4 0 0 0 0 0 0 0 0 0
AA06	62 0 0 0 0 0 0 40 0 0 0 0 0 0 0 0 0 0 0 0 102 0 0 55 0 0 63 0 0 0 0 1 0 0 0 0 71 0 0 0 0 0 0 0 0 0 48 25 0 0
AAAS	3042 2597 3613 0 0 2446 0 1922 2088 994 777 1220 1784 0 426 0 1478 2666 299 3195 9 0 4203 10436 2322 804 10493 455 216 3621 0 0 3957 1824 2180 1826 1898 1437 2866 230 1422 3200 2817 600 2033 2302 3424 2198 0 0
AACS	331 0 424 489 584 64 758 151 128 0 97 447 1023 495 299 0 1028 52 103 49 0 304 91 0 0 0 650 592 0 0 463 0 48 0 0 64 0 98 0 0 0 734 0 0 695 0 461 0 0 558
AACSP1	43 0 197 196 348 0 0 4 0 41 0 9 47 69 0 0 0 11 0 0 104 0 0 0 0 0 1 0 6 0 0 0 0 0 51 0 0 0 0 0 0 2 0 0 25 0 5 0 0 54
AADAC	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 98 0 0 0 17 0 0 0 0 0 151 0 0 0 17 0 0 0 0 0 4 0 0 0 0 36 0 0 0 35
AADACL2	0 0 0 0 42 0 0 13 0 0 0 0 0 0 3 0 0 0 20 0 0 0 0 0 103 0 52 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 46 0 0 0
AADACL3	24 24 0 107 958 5 115 0 99 43 18 0 0 0 86 106 123 29 0 15 308 0 15 8 0 0 0 0 0 111 34 77 0 67 0 0 14 0 98 0 155 1 40 45 5 5 67 0 0 148
AADACL4	0 0 104 0 0 0 0 139 0 0 2 0 0 0 0 43 0 37 0 0 0 0 0 0 1 0 38 0 0 0 5 0 0 0 0 0 4 0 0 0 0 0 0 0 0 45 0 0 0 0
AADAT	37 25 0 48 723 0 48 0 0 7 0 0 0 30 0 59 47 21 0 0 217 58 0 35 0 0 0 0 0 79 105 0 0 16 0 16 0 0 33 0 67 0 107 0 56 0 0 0 0 172
AAED1	144 0 0 227 0 0 0 52 0 0 65 0 0 487 322 0 426 130 0 0 0 0 0 283 23 0 291 0 140 0 0 0 43 3398 266 0 0 0 0 0 79 0 0 0 0 0 227 0 0 0
AAGAB	0 0 0 0 34 0 0 0 0 2 0 0 0 0 19 5653 4 19 0 0 0 0 0 0 0 160 0 0 0 0 0 0 0 0 0 0 0 0 0 57 0 0 239 0 0 0 1098 1087 0 747
AAK1	177 0 340 0 0 0 0 2 110 0 72 0 2 0 0 0 170 61 20 0 85 0 0 95 0 0 0 0 0 0 14 0 34 0 0 0 0 0 0 9 0 0 1 138 215 0 45 129 1045 105
AAMDC	1876 0 0 116 0 514 0 1023 459 0 1293 0 4523 355 0 2195 0 814 1081 2038 53 0 208 20 1964 1619 2684 0 0 3233 0 168 468 781 0 65 391 486 0 0 0 568 0 0 1475 3 4139 0 0 0
AANAT	0 0 0 0 0 0 7 28 0 0 14 0 0 55 0 0 0 0 0 0 0 0 0 23 0 0 0 25 2 14 0 0 0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0
AAR2	3702 3521 3533 1837 0 1951 664 1183 1313 4120 0 42 2259 1315 1326 0 0 361 521 2612 542 119 27537 453 9127 3945 2042 1582 177 6973 3076 438 530 18 0 1960 722 49 1910 0 493 6243 1312 1638 3334 131 4001 137 1290 462
AARD	0 0 447 62 0 0 0 0 0 0 0 0 0 0 541 0 0 0 0 0 0 138 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
AARS	511 1017 1376 5061 59 225 15 291 726 864 182 512 0 3035 2462 0 1727 348 144 39 377 2676 201 408 177 4 800 1723 0 0 0 1483 0 1161 2175 389 0 534 4565 7 171 4134 0 0 2717 114 147 5454 864 297
AARS2	426 0 0 222 0 0 554 72 38 0 0 279 0 276 104 0 9 585 308 105 85 107 269 795 243 873 460 0 0 862 0 66 177 508 0 0 128 584 0 0 227 0 0 0 0 0 4 1048 0 605
AARSD1	402 49 2584 0 68 4629 0 450 1260 0 607 0 5266 3352 1026 2974 0 2627 0 537 0 0 64 0 5222 826 3113 618 2394 400 355 0 32 509 1895 323 463 610 1359 42 0 806 258 2027 7731 94 4272 95 0 757
AASDH	138 0 125 0 0 203 0 98 188 0 118 0 191 272 442 0 0 40 65 0 0 132 0 106 30 0 463 0 186 0 65 0 52 0 0 125 245 77 985 0 0 1 0 162 0 11 126 0 348 0
AASDHPPT	0 351 5754 830 103 18 1127 206 0 748 0 2594 0 3605 3552 0 2276 0 329 0 7 331 379 1077 559 1523 929 311 180 0 1844 400 0 0 777 0 142 103 4171 0 234 987 1379 0 990 413 883 1123 3110 0
AASS	154 0 0 25 0 0 0 94 270 220 583 131 6 0 802 0 0 53 71 781 89 1 223 325 46 0 1853 31 66 0 135 469 82 0 0 442 473 0 520 0 0 0 0 0 55 59 285 0 0 1018
AATK	185 0 0 0 32 0 0 0 0 0 7 0 0 0 0 0 0 0 0 11 0 0 0 0 37 0 378 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
AATK.AS1	0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ABAT	475 98 283 130 4 0 629 0 0 21 137 912 0 83 468 37 0 0 80 49 49 221 95 194 653 0 650 4 0 279 496 208 164 478 16 124 47 0 254 0 186 0 0 0 116 0 293 90 108 357
ABCA1	77 0 99 181 213 115 0 207 106 0 62 0 0 5 433 0 321 138 73 0 81 0 303 18 0 0 278 0 0 0 39 0 74 226 0 66 0 0 232 0 78 0 0 0 0 23 48 0 558 166
ABCA10	263 0 0 0 0 252 0 74 0 0 200 0 165 0 0 0 0 0 409 0 98 0 33 150 0 0 197 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 28 0 0 13 0 0 0 41
ABCA11P	143 0 170 227 377 0 286 38 0 278 79 489 0 127 178 0 0 38 43 0 469 0 107 56 0 0 56 0 164 494 94 0 0 807 0 0 32 0 212 0 0 0 0 0 0 0 132 0 433 63
ABCA12	0 0 0 0 1 0 0 11 0 0 0 0 0 0 4 0 0 0 20 0 0 0 21 9 0 0 0 0 0 0 0 18 3 0 0 0 0 20 0 0 0 0 0 58 0 0 0 0 0 0
ABCA13	0 0 0 0 328 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 4 20 0 0 0 0 0 17 0 0 9 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ABCA17P	0 0 0 23 33 2 16 41 0 0 80 0 0 0 0 0 0 0 0 0 0 0 202 41 0 0 0 0 0 0 0 8 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ABCA2	214 341 0 631 0 0 0 126 0 0 53 0 97 0 0 411 353 0 0 0 97 345 132 59 480 558 282 0 399 562 0 0 88 147 207 17 0 337 158 0 382 0 0 58 36 0 44 0 0 123
